fecha,y_test,demand_DSS,fit_SVM,fit_Decision_Tree,fit_GaussianNB,fit_Logistic_Regression,sarima,fit_KNeighborsClassifier,fit_LinearDiscriminantAnalysis,fit_croston
2019-08-01,1.0,1.165,0.4295167444614316,1.25,6.0,0.0,2.346595221781806,0.0,0.0,1.8904921048541183
2019-08-02,0.0,1.165,1.1000456574299455,4.666666666666667,13.0,1.0,1.024966057929811,1.0,1.0,1.8904921048541183
2019-08-03,0.0,2.176,1.3521087097816804,2.0,6.0,0.0,1.3465952217818058,2.0,0.0,1.8904921048541183
2019-08-05,0.0,1.165,1.013758829773109,1.0,6.0,1.0,0.4875169710350945,1.0,1.0,1.8904921048541183
2019-08-06,2.0,1.165,0.8998636342267194,0.75,13.0,0.0,0.4939434329952338,1.0,0.0,1.8904921048541183
2019-08-07,0.0,1.165,0.8999634295706306,0.4,6.0,1.0,0.6574355681103479,0.0,1.0,1.8904921048541183
2019-08-08,5.0,1.165,0.4295167444614316,1.25,6.0,0.0,2.3287177840551743,0.0,0.0,1.8904921048541183
2019-08-09,3.0,1.165,0.8996655787494632,0.6,6.0,1.0,1.0342038341783222,1.0,1.0,1.8904921048541183
2019-08-10,20.0,0.17600000000000002,0.8752648290752856,0.8333333333333334,6.0,0.0,1.328717784055174,0.0,0.0,1.8904921048541183
2019-08-12,8.0,1.165,1.1004202690745786,1.8,10.0,1.0,0.482898082910839,1.0,1.0,1.8904921048541183
2019-08-13,1.0,1.165,1.0977169769200983,1.0,0.0,1.0,0.4773940097870117,1.0,1.0,1.8904921048541183
2019-08-14,1.0,1.165,1.0766801817481608,1.0,10.0,1.0,0.6873377896543931,1.0,10.0,1.8904921048541183
2019-08-16,1.0,1.165,1.5514538721904232,2.0,6.0,1.0,2.343668894827197,1.0,1.0,1.8904921048541183
2019-08-17,0.0,0.17600000000000002,1.0952982233720525,0.8333333333333334,6.0,0.0,1.0015224316228903,0.0,0.0,1.8904921048541183
2019-08-19,0.0,1.165,1.1004202690745786,1.8,10.0,1.0,1.3436688948271966,1.0,1.0,1.8904921048541183
2019-08-20,1.0,1.165,0.9004678918207012,0.6666666666666666,6.0,0.0,0.4992387841885549,1.0,1.0,1.8904921048541183
2019-08-21,7.0,1.165,1.0315097663388388,4.333333333333333,10.0,1.0,0.48764687112020394,1.0,1.0,1.8904921048541183
2019-08-22,3.0,1.165,0.10042626398234389,0.75,10.0,0.0,0.6781410856807287,0.0,0.0,1.8904921048541183
2019-08-23,0.0,1.165,0.8996655787494632,0.6,6.0,1.0,2.3390705428403646,1.0,1.0,1.8904921048541183
2019-08-24,3.0,0.17600000000000002,0.8752648290752856,0.8333333333333334,6.0,0.0,1.0205513214997564,0.0,0.0,1.8904921048541183
2019-08-26,1.0,1.165,1.1004202690745786,1.8,10.0,1.0,1.3390705428403644,1.0,1.0,1.8904921048541183
2019-08-27,2.0,1.165,0.8998636342267194,0.75,13.0,0.0,0.4897243392501219,1.0,0.0,1.8904921048541183
2019-08-28,1.0,1.165,0.8999634295706306,0.4,6.0,1.0,0.4857840954610374,0.0,1.0,1.8904921048541183
2019-08-29,2.0,1.165,0.4295167444614316,1.25,6.0,0.0,0.6752819112990499,0.0,0.0,1.8904921048541183
2019-08-30,2.0,1.165,1.1000456574299455,4.666666666666667,13.0,1.0,2.337640955649525,1.0,1.0,1.8904921048541183
2019-08-31,1.0,0.17600000000000002,1.3521087097816804,2.0,6.0,0.0,1.0176856625459147,2.0,0.0,1.8904921048541183
